Banque;Ville;Nom Agence;Localisation;Note;Avis;Date Avis
CIH Bank;Casablanca;CIH Bank;GCJ7+G8P, Bd Tah, Casablanca;;Trop d'attente 0 organisation !;il y a 5 mois
CIH Bank;Casablanca;CIH Bank;GCJ7+G8P, Bd Tah, Casablanca;;Elle nest pad encore ouverte 😢 …;il y a un an
CIH Bank;Casablanca;CIH Bank;GCJ7+G8P, Bd Tah, Casablanca;;Il n'y a rien à voir avec Getty Awal Doz Nahar 0;il y a 3 semaines
CIH Bank;Casablanca;CIH Bank;GCJ7+G8P, Bd Tah, Casablanca;;Service 0;il y a un mois
CIH Bank;Casablanca;CIH Bank;GCJ7+G8P, Bd Tah, Casablanca;;Vous n'êtes toujours pas censé servir;il y a un an
CIH Bank;Casablanca;CIH Bank;GCJ7+G8P, Bd Tah, Casablanca;;Cela ne se résout pas tous les jours;il y a un an
CIH Bank;Casablanca;CIH Bank;GCJ7+G8P, Bd Tah, Casablanca;;excellent;il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;"Toujours dans cette agence ""Le système ne marche pas"" et le service est nul. 1 étoile ça se mérire même pas !";il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Tjr pas de système .il veut mieux la fermer;il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;"Pire agence
Comportement agressif
Tt le temps pleines
Une étoile c'est beaucoup j'aurais aimé mettre -10";il y a 3 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;"Un très mauvais service client!
Je changerai certainement la banque CIH à cause du comportement du responsable de cette agence.";il y a 3 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Tres mauvaise agence;il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Vraiment un mauvais service, le GAB est toujours bloqué;il y a 5 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Bon service;il y a 2 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Je recommande vivement;il y a 3 jours
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;"Il existe une autre banque de café africain
On ne le trouve pas sur Google map, voici son emplacement …";il y a 9 mois
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Plus de 8 personnes attendaient la caisse...sans personne autre que l'agent de sécurité, à la même heure que ce commentaire;il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Cette agence vous dit toujours que le système ne fonctionne pas, et par Dieu, chaque fois que je vais déposer des sommes d'argent importantes, elle vous dit que le système ne fonctionne pas. …;il y a 2 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;"Très mauvaise expérience, wsystème toujours tay7 (j'ai un client m3a dkhelt m3a galt lya system tay7 wkathdar b7ala kathder walk professionnellement ga3)fash swltha wash ghaykhdem lyoum nrje3 galt lya la mou7al yrje3 lyoum tal ghda.
Bghyt ghir n3raf kifash 3rfat m3ash ghaykhdem système mdr.";il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Assez de rire des gens, c'est vous qui devriez contacter votre agence et revoir les caméras de surveillance. Ce à quoi nous sommes exposés dans cette agence est vraiment honteux et inhumain. Vous avez l'impression d'être au Maroc des années 90.;il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Maltraitances et souffrances en attendant leur tour. Les autorités compétentes doivent les tenir pour responsables.;il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;"Deux erreurs que font les gens :
La première était d'ouvrir un compte chez Al Siyash et la seconde de l'ouvrir dans cette agence";il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;service 3iyan bzaaaaaf khassatan le kenti ghadi tssayeb compt thème lemra li khedama thème ka dowez 1 fe sa3a;il y a 3 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Service la 3ala9a ou lmo3amala 0;il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Surpeuplement et lenteur du travail. La situation doit être améliorée en augmentant le personnel...;il y a 2 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Traitement de qualité inférieure par cette agence;il y a 3 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Réduire;il y a un an
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Système inondé 😡 Longe Abermont 😥 …;il y a 3 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Système dima tay7;il y a 2 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;Service 0;il y a 2 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;le pire;il y a 4 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;bon;il y a 7 ans
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;"Accueillir,
Nous sommes désolés de n'avoir pas pu répondre à vos attentes.
Nous vous invitons à nous contacter au 4747 ou à reclamations-clients@cihbank.ma, nous ferons de notre mieux pour vous offrir un meilleur service.";il y a 6 mois
CIH Bank;Casablanca;CIH Bank;12 Bd Houcine Assoussi Jaouhara,imm7, Casablanca 20000;1,8;"Accueillir,
Nous sommes désolés de n'avoir pas pu répondre à vos attentes.
Nous vous invitons à nous contacter au 4747 ou à reclamations-clients@cihbank.ma, nous ferons de notre mieux pour vous offrir un meilleur service.";il y a un an
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Le nouveau agent de sécurité est vraiment impoli la société concerne doit changer ses critères de recrutement et recruter des agents compétents et poli;il y a 4 mois
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Service client médiocre et communication non professionnelle à la CIH Bank. Expérience très décevante. J’espère qu’ils amélioreront leur façon de traiter les clients.;il y a 3 mois
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;"Il est frustrant de constater que le service de l'agent bancaire est ""nul"". Avoir tenté de les contacter plusieurs fois par téléphone et par email sans réponse est décevant. L'incapacité d'obtenir de l'aide peut être très préoccupante, et cela peut certainement créer des regrets quant à l'ouverture du compte dans cette banque.";il y a un an
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;très mauvaise expérience avec cette banque système toujours hors service personnel impoli et pas professionnel wahed ysiftk lwahd bhal sbitar l7oma;il y a un an
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Cette conseillère (Hafida mounib) est très compétente , professionnelle et hyper gentille, en plus elle respecte son travail et ceux qui travaillent avec elle , je la remercie beaucoup pour ses services❤️;il y a 3 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Service et comportement trop nul, surtout avec la conseilliére HAFIDA MOUNIB... Je vous conseille d'éviter cette agence !👎👎👎 …;il y a 4 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;"Personnel non qualifié.
Plus de tickets pour organiser la file d'attente...";il y a un an
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;"- Mauvaise attitude
- Mauvais service
- Mauvais comportement
Même une note ou une étoile ne vaut pas cette agence .";il y a 2 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Mauvais service ,soi le systhem est hors service soi les agents  en retart, pas d argent a la banque,guichet hors service.....🤬🤬🤬🤬 …;il y a 2 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Service client null meme avec une carte gold ouuufff;il y a 3 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;"Mauvais service 👎🏻
Infrastructure mal
C'est mieux de rénover l'agence . …";il y a 2 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;La banque est toujours bondée et services 0;il y a 4 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;"Guichet jamais en marche.
(presque jamais)";il y a 3 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;CIH = mauvaise affaire;il y a un an
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Cih banque gratuite pour la jeunesse;il y a 6 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Pas mâle;il y a 7 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Agence de qualité;il y a 3 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Mauvaise Service;il y a 4 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Une banque reste une banque;il y a un an
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Sévices nuls;il y a 5 ans
CIH Bank;Casablanca;CIH Bank;HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca;1,6;Mauvaise qualité au niveau de l'accueil... meilleur accès au service, stationnement long et ennuyeux... interruption du service... disputes entre le client et l'employé... qui sont parmi les principales raisons qui font penser à changer de banque.;il y a un an
