banque,topic_category,topic_name,nombre_avis,note_moyenne,note_ecart_type,sentiment_positif,sentiment_negatif,sentiment_neutre,longueur_moyenne_avis,taux_satisfaction,taux_insatisfaction
Al Barid Bank,Expérience Client,Service Client,459,0.0,0.0,103,151,205,131.96,22.44,32.9
Al Barid Bank,Général,Expérience Générale,62,0.0,0.0,10,20,32,20.94,16.13,32.26
Al Barid Bank,Opérations,Temps d'Attente,27,0.0,0.0,4,0,23,53.11,14.81,0.0
Attijariwafa Bank,Expérience Client,Service Client,254,0.0,0.0,86,82,86,131.39,33.86,32.28
Attijariwafa Bank,Général,Expérience Générale,36,0.0,0.0,6,4,26,20.67,16.67,11.11
Attijariwafa Bank,Opérations,Temps d'Attente,11,0.0,0.0,5,2,4,32.0,45.45,18.18
BMCE Bank,Expérience Client,Service Client,295,0.0,0.0,79,87,129,126.14,26.78,29.49
BMCE Bank,Général,Expérience Générale,39,0.0,0.0,6,5,28,19.31,15.38,12.82
BMCE Bank,Opérations,Temps d'Attente,10,0.0,0.0,4,0,6,39.6,40.0,0.0
BMCI,Expérience Client,Service Client,127,0.0,0.0,28,49,50,146.17,22.05,38.58
BMCI,Général,Expérience Générale,6,0.0,0.0,1,2,3,15.0,16.67,33.33
BMCI,Opérations,Temps d'Attente,4,0.0,0.0,2,0,2,35.0,50.0,0.0
Bank Al-Maghrib,Expérience Client,Service Client,105,0.0,0.0,29,29,47,141.87,27.62,27.62
Bank Al-Maghrib,Général,Expérience Générale,20,0.0,0.0,5,0,15,15.15,25.0,0.0
Bank Al-Maghrib,Opérations,Temps d'Attente,12,0.0,0.0,2,0,10,34.25,16.67,0.0
Bank Assafa,Expérience Client,Service Client,85,0.0,0.0,28,31,26,166.48,32.94,36.47
Bank Assafa,Général,Expérience Générale,8,0.0,0.0,2,0,6,41.38,25.0,0.0
Bank of Africa,Expérience Client,Service Client,132,0.0,0.0,47,42,43,154.42,35.61,31.82
Bank of Africa,Général,Expérience Générale,17,0.0,0.0,3,2,12,12.0,17.65,11.76
Bank of Africa,Opérations,Temps d'Attente,3,0.0,0.0,1,0,2,36.0,33.33,0.0
Banque Populaire,Expérience Client,Service Client,276,0.0,0.0,65,86,125,117.12,23.55,31.16
Banque Populaire,Général,Expérience Générale,38,0.0,0.0,8,6,24,22.05,21.05,15.79
Banque Populaire,Opérations,Temps d'Attente,7,0.0,0.0,2,0,5,67.86,28.57,0.0
CIH Bank,Expérience Client,Service Client,1147,0.0,0.0,264,482,401,140.7,23.02,42.02
CIH Bank,Général,Expérience Générale,207,0.0,0.0,56,30,121,52.09,27.05,14.49
CIH Bank,Opérations,Temps d'Attente,30,0.0,0.0,9,2,19,60.77,30.0,6.67
Crédit Agricole du Maroc,Expérience Client,Service Client,215,0.0,0.0,66,55,94,106.56,30.7,25.58
Crédit Agricole du Maroc,Général,Expérience Générale,40,0.0,0.0,11,2,27,13.18,27.5,5.0
Crédit Agricole du Maroc,Opérations,Temps d'Attente,13,0.0,0.0,6,0,7,38.08,46.15,0.0
Crédit du Maroc,Expérience Client,Service Client,109,0.0,0.0,39,27,43,133.11,35.78,24.77
Crédit du Maroc,Général,Expérience Générale,17,0.0,0.0,0,1,16,19.47,0.0,5.88
Société Générale Maroc,Expérience Client,Service Client,286,0.0,0.0,80,95,111,138.64,27.97,33.22
Société Générale Maroc,Général,Expérience Générale,31,0.0,0.0,2,4,25,29.32,6.45,12.9
Société Générale Maroc,Opérations,Temps d'Attente,10,0.0,0.0,6,0,4,35.6,60.0,0.0
Umnia Bank,Expérience Client,Service Client,95,0.0,0.0,40,24,31,154.08,42.11,25.26
Umnia Bank,Général,Expérience Générale,16,0.0,0.0,0,0,16,62.19,0.0,0.0
Umnia Bank,Opérations,Temps d'Attente,9,0.0,0.0,4,0,5,55.11,44.44,0.0
