banque,nom_agence,ville,localisation,note,sentiment,avis,topic,date_avis,langue,topic_clean,topic_name,topic_category
Al Barid Bank,AL BARID BANK Bd Panoramique,Casablanca,"Poste Maroc, 43 Rue 88, Casablanca",0.0,Negatif,le plus null service et la plus null banke au maroc,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,AL BARID BANK Bd Panoramique,Casablanca,"Poste Maroc, 43 Rue 88, Casablanca",0.0,Negatif,que dieu prenne le droit toujours en dehors de couvrir des problèmes techniques en détruisant la carte le secteur est illégal et à chaque occasion des sommes d'argent sont kidnappées sans aucune explication,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,AL BARID BANK Bd Panoramique,Casablanca,"Poste Maroc, 43 Rue 88, Casablanca",0.0,Negatif,manque de professionalisme de la part d un agent incompétent qui se comporte mal très long et tjrs entrain d insulter genre dégoûter de son travail je suis parti déposé un dossier de mutation le gas ma dit de partir voir une autre agence prq la cin porte l adresse de sidi maarouf quoi que j avais déjà déposer une autre mutation ds la même agence y a quelques mois y avait une gentille fille qui avait traité le dossier ds la même agence,Services bancaires,06/05/2025,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,AL BARID BANK Bd Panoramique,Casablanca,"Poste Maroc, 43 Rue 88, Casablanca",0.0,Positif,parmi mes mauvaise expérience avec n'importe quel bank ma mère a un compte sur carnet a al barid banque de quartier cuba casablanca elle a attendu 3 heure pour prendre 1500 dhs et tout ça car elle y'a une seule personne qui travaille là bas elle fait les choses doucement et en plus elle a laissé tout le monde pour prendre une pause d'une heure c'est une personne tout sauf professionnelle elle agit comme si elle a des conflits avec toi merci madame kawtar moulat albarid bank je vais conseiller ma mère de changer cette banque très prochainement si elle a trois heures à gaspiller,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,AL BARID BANK Bd Panoramique,Casablanca,"Poste Maroc, 43 Rue 88, Casablanca",0.0,Positif,c'était la troisième banque barid à visiter aujourd'hui car les deux autres ne faisaient pas fonctionner amana express cette agence a compensé les deux autres très organisées bien élevées un service compétent et excellent de la part de l'agent de sécurité et de l'agent de service continuez votre bon travail merci,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Agence Al Barid Bank,Rabat,"2572+68F, N1, Rabat",0.0,Neutre,service de caisse médiocre,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Agence Al Barid Bank,Rabat,"2572+68F, N1, Rabat",0.0,Positif,staff serviable et aimable frais de la banque sont abordables et raisonables et bien sûr l'application bbm facilite les opérations nécessaires dans le quotidien sans se déplacer virements mandats et autres,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Agence Al Barid Bank,Rabat,"2572+68F, N1, Rabat",0.0,Positif,agence barid cash rabat diour jamaa barid cash créée en 2014 barid cash filiale d al barid bank offre un service de transfert simple et rapide pour envoyer et recevoir de l argent au maroc et à l étranger barid cash s est imposé une cadence de développement accélérée avec pour axe principal la diversification de sa gamme de produits et services ainsi que la densification de son réseau d agences barid cash vous offre également une panoplie complète de services de proximité tels que le paiement mobile le paiement de factures de taxes et impôts l achat de ticket de transport,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
Al Barid Bank,Agence Al Barid Bank,Rabat,"2572+68F, N1, Rabat",0.0,Negatif,service épouvantable manque de personnel de longues heures d'attente,Service client,Date inconnue,fr,Service client,Service Client,Expérience Client
Al Barid Bank,Agence Al Barid Bank,Rabat,"2572+68F, N1, Rabat",0.0,Positif,le pire service client que j'ai jamais connu spécialement du front office pour récupérer mes cartons elle ne sait pas comment le confirmer sur le système et c'est dommage que le responsable de la sécurité ne respecte pas la liste d'attente alors un gars est venu après moi et il a servi rapidement parce qu'ils se connaissent je ne sais pas pourquoi nous sommes en 2023 et les bureaux marocains sont toujours les mêmes,Services bancaires,Date inconnue,fr,Services bancaires,Service Client,Expérience Client
