banque,nom_agence,ville,localisation,note,sentiment,avis,topic,date_avis,langue,topic_clean,topic_name,topic_category
Al Barid Bank,ALBARID BANK,El Jadida,"6GH6+XGP, R318, El Jadida",0.0,Neutre,d'accord,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Agence BARID CASH,Mohammedia,"MJMF+JJX, Mohammédia",0.0,Neutre,merci beaucoup,Tarifs,Date inconnue,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Agence BARID CASH,Mohammedia,"MJMF+JJX, Mohammédia",0.0,Negatif,mauvais traitement,Tarifs,Date inconnue,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Neutre,plastique,Expérience générale,06/05/2025,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,mauvais,Expérience générale,06/05/2025,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Fès,"19 Rue Malouiya, Fès",0.0,Negatif,mauvais emplacement,"Topic 6: remerc, plais, avis",06/05/2025,fr,"remerc, plais, avis",Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,pas de frais et pas de problèmes,Tarifs,06/05/2025,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Negatif,j'ai soulevé avec revolut tout était ok pas de problème et pas de frais,Tarifs,06/05/2025,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,terrible,Expérience générale,06/05/2025,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Rabat,"48 Av. Al Maghrib Al Arabi, Rabat",0.0,Negatif,mauvaise,Expérience générale,06/05/2025,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Marrakech,"J2C8+H8C, Marrakesh 40000",0.0,Neutre,frais de facturation,Tarifs,06/05/2025,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Positif,génial,Expérience générale,06/05/2025,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Fès,"19 Rue Malouiya, Fès",0.0,Positif,trébien,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Negatif,nulllĺl,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,43744 blngoi436s43744 kahder 0639002576i 43744 see more,Expérience générale,Date inconnue,mixed,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Positif,bonjour,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Agadir,"CCC2+7XC La Poste Principale, Agadir 80000،",0.0,Negatif,pas mal,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Casablanca,"H88J+8R3 20220 Quartier:, Bd Oued Oum Errabia, Casablanca 20100",0.0,Neutre,services médiocres,"Topic 6: remerc, plais, avis",Date inconnue,fr,"remerc, plais, avis",Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Meknès,Meknès,0.0,Neutre,une autre façon d'économiser,Tarifs,Date inconnue,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Meknès,Meknès,0.0,Neutre,aaaaaa,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Negatif,mauvais service,Expérience générale,Date inconnue,mixed,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Neutre,banque al barid,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,El Jadida,"6FMW+RM8, El Jadida",0.0,Negatif,pas mal,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank,El Jadida,"6FPG+C6C, El Jadida",0.0,Negatif,le service dans l'ensemble al barid bank encore faible par rapport à la quantité d'attente,Tarifs,Date inconnue,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank Direction Centrale - مصلحة القرارات والتقارير,Rabat,"2535+XH4, Rabat",0.0,Negatif,pas mal,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank Direction Centrale - مصلحة القرارات والتقارير,Rabat,"2535+XH4, Rabat",0.0,Positif,tres bien,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank FES Atlas,Fès,"228G+28M, Fès",0.0,Neutre,pas grave,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank GAB,Marrakech,"JX2F+M4G, Marrakech 40160",0.0,Neutre,toujours pas de frais octobre 2024,Tarifs,06/05/2025,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank Tetouan Touabel,Tétouan,"HMJ3+FQG, Tétouan",0.0,Neutre,bureau avec des services médiocres le programme de renouvellement du permis de conduire a toujours été suspendu,"Topic 6: remerc, plais, avis",06/05/2025,fr,"remerc, plais, avis",Expérience Générale,Général
Al Barid Bank,Al Barid Bank Tetouan Touabel,Tétouan,"HMJ3+FQG, Tétouan",0.0,Negatif,très mauvais traitement,Tarifs,Date inconnue,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank Tetouan Touabel,Tétouan,"HMJ3+FQG, Tétouan",0.0,Negatif,le problème de l'attente,Tarifs,Date inconnue,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank البريد بنك,Safi,"7Q42+P6W, Safi",0.0,Positif,c'est bon,Expérience générale,06/05/2025,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank البريد بنك,Safi,"7Q42+P6W, Safi",0.0,Neutre,10 100,Expérience générale,Date inconnue,mixed,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank بريد المغرب,Oujda,"M3HX+V88, Oujda",0.0,Neutre,le directeur de banque le mieux traité actuellement est m mohamed siraj,Tarifs,Date inconnue,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al Barid Bank بريد المغرب,Oujda,"M2MX+44X, Oujda",0.0,Neutre,tu mourras,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al Barid Bank بريد المغرب,Oujda,"M2MX+44X, Oujda",0.0,Negatif,très mauvais traitement je vous déconseille d'y aller et je vous donnerai l'agence,Tarifs,Date inconnue,fr,Tarifs,Expérience Générale,Général
Al Barid Bank,Al barid Bank,Casablanca,"G8RF+C8X, Casablanca",0.0,Neutre,0 service,Expérience générale,06/05/2025,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,Al barid Bank,Casablanca,"G8RF+C8X, Casablanca",0.0,Negatif,nulle,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
Al Barid Bank,BARID AL-MAGHRIB,Safi,"7QQ5+P9J, Av. Chahid Abdel Ali Ben Chekroune, Safi",0.0,Negatif,mauvais emplacement,"Topic 6: remerc, plais, avis",Date inconnue,fr,"remerc, plais, avis",Expérience Générale,Général
Al Barid Bank,BARID AL-MAGHRIB,Safi,"7QQ5+P9J, Av. Chahid Abdel Ali Ben Chekroune, Safi",0.0,Neutre,amour,Expérience générale,Date inconnue,fr,Expérience générale,Expérience Générale,Général
