banque,nom_agence,ville,localisation,note,sentiment,avis,topic,date_avis,langue,topic_clean,topic_name,topic_category
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Neutre,le pire est la pire agence merci banque populaire,Temps d'attente,06/05/2025,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Neutre,la pire banque du maroc a les pires dirigeants avec une éducation et une moralité médiocres,Temps d'attente,06/05/2025,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,Tanger,"P5VJ+933, Tanger",0.0,Positif,maroc tanger bir deaf bien,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,Rabat,"X4JM+CC2, Rabat 10112",0.0,Positif,bonjour maman nt3rf 3lik d'accord,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,Agadir,"9F7F+C6H, Dcheira El Jihadia 80000",0.0,Neutre,albarid bank poste hay ilham,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,Agadir,"9F7F+C6H, Dcheira El Jihadia 80000",0.0,Neutre,il n'y a de puissance ni de force qu'en dieu,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,Meknès,"BD HAJ M'HAMED BEN CHAKROUNE, Meknès 50013",0.0,Neutre,le pire courrier,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,Meknès,Meknès,0.0,Neutre,la plus grande poste d'afrique,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,Tétouan,"HJCG+692, Av. Prince Héritier, Tétouan",0.0,Neutre,numéro postal,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank,El Jadida,"6FMW+RM8, El Jadida",0.0,Neutre,banque de l'agence postale,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank Direction Centrale - مصلحة القرارات والتقارير,Rabat,"2535+XH4, Rabat",0.0,Neutre,poste du maroc,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank GAB,Marrakech,"JX2F+M4G, Marrakech 40160",0.0,Neutre,méga pas cher,Temps d'attente,05/06/2025,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank GAB,Marrakech,"JX2F+M4G, Marrakech 40160",0.0,Neutre,no fee when you exit the customs area after you have your bags you'll see a row of 3 or so atms right in front of you it's not in these ones you have to walk straight through a corridor of sorts to the large open check in area and then head diagonally to the right it's right next to the bank of africa kiosk thanks to others for putting instructions and photos that made this easy,Temps d'attente,06/05/2025,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank بريد المغرب,Oujda,"M3HX+V88, Oujda",0.0,Neutre,akfs lagoons post bank au maroc,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al Barid Bank بريد المغرب,Oujda,"M3HX+V88, Oujda",0.0,Neutre,the best banque,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,"Al Barid Bank, Agence Agdal",Rabat,"X5X2+P4X, Av. Fal Ould Oumeir, Rabat",0.0,Neutre,l'un des meilleurs directeurs de banque postale avec qui j'ai jamais eu affaire est m hassan,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Al barid bank,Mohammedia,"Poste du Maroc, Bd Al Fath, Âïn-Harrouda",0.0,Neutre,poste maroc agence ain harouda l'agence propose divers services postaux en plus d'un certain nombre de services bancaires via le service banque postale,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
Al Barid Bank,Barid Al-Maghrib (Poste Ksar El Kebir Hay Salam),Ksar El Kebir,"X3XX+9JC, Hay Salam, Tanger-Tétouan, Ksar El Kebir, Ksar El-Kébir 90000",0.0,Neutre,il n'y a de puissance ni de force qu'en dieu,Temps d'attente,Date inconnue,fr,Temps d'attente,Temps d'Attente,Opérations
